2025-09-16 14:33:48,210 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9952.60
2025-09-16 14:33:48,235 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16328 on 2025-07-18 19:15:00 (SL: 1.16378, TP: 1.16228)
2025-09-16 14:33:48,240 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9960.60
2025-09-16 14:33:48,256 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16348 on 2025-07-21 00:45:00 (SL: 1.16298, TP: 1.16448)
2025-09-16 14:33:48,258 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9953.60
2025-09-16 14:33:48,269 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16239 on 2025-07-21 04:00:00 (SL: 1.16289, TP: 1.16139)
2025-09-16 14:33:48,285 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9946.60
2025-09-16 14:33:48,339 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16953 on 2025-07-21 22:00:00 (SL: 1.17003, TP: 1.16853)
2025-09-16 14:33:48,353 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -0.10, New Balance: 9946.50
2025-09-16 14:33:48,353 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16934 on 2025-07-22 01:30:00 (SL: 1.16884, TP: 1.17034)
2025-09-16 14:33:48,359 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9939.50
2025-09-16 14:33:48,364 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16882 on 2025-07-22 04:00:00 (SL: 1.16932, TP: 1.16782)
2025-09-16 14:33:48,369 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9932.50
2025-09-16 14:33:48,378 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16922 on 2025-07-22 07:15:00 (SL: 1.16872, TP: 1.17022)
2025-09-16 14:33:48,379 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -3.30, New Balance: 9929.20
2025-09-16 14:33:48,380 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16909 on 2025-07-22 07:30:00 (SL: 1.16959, TP: 1.16809)
2025-09-16 14:33:48,383 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 1.40, New Balance: 9930.60
2025-09-16 14:33:48,383 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16875 on 2025-07-22 08:15:00 (SL: 1.16825, TP: 1.16975)
2025-09-16 14:33:48,385 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -2.80, New Balance: 9927.80
2025-09-16 14:33:48,385 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16867 on 2025-07-22 08:45:00 (SL: 1.16917, TP: 1.16767)
2025-09-16 14:33:48,388 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -0.60, New Balance: 9927.20
2025-09-16 14:33:48,389 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.16853 on 2025-07-22 09:15:00 (SL: 1.16803, TP: 1.16953)
2025-09-16 14:33:48,390 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -2.10, New Balance: 9925.10
2025-09-16 14:33:48,390 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16852 on 2025-07-22 09:30:00 (SL: 1.16902, TP: 1.16752)
2025-09-16 14:33:48,392 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9918.10
2025-09-16 14:33:48,400 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.1698 on 2025-07-22 11:45:00 (SL: 1.16930, TP: 1.17080)
2025-09-16 14:33:48,414 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9911.10
2025-09-16 14:33:48,418 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.16826 on 2025-07-22 16:00:00 (SL: 1.16876, TP: 1.16726)
2025-09-16 14:33:48,419 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9904.10
2025-09-16 14:33:48,428 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17334 on 2025-07-22 18:15:00 (SL: 1.17284, TP: 1.17434)
2025-09-16 14:33:48,430 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9912.10
2025-09-16 14:33:48,460 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17382 on 2025-07-23 02:30:00 (SL: 1.17432, TP: 1.17282)
2025-09-16 14:33:48,465 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9905.10
2025-09-16 14:33:48,493 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17432 on 2025-07-23 11:00:00 (SL: 1.17382, TP: 1.17532)
2025-09-16 14:33:48,494 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9898.10
2025-09-16 14:33:48,503 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17333 on 2025-07-23 13:15:00 (SL: 1.17383, TP: 1.17233)
2025-09-16 14:33:48,512 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9906.10
2025-09-16 14:33:48,528 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17332 on 2025-07-23 18:15:00 (SL: 1.17282, TP: 1.17432)
2025-09-16 14:33:48,529 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9899.10
2025-09-16 14:33:48,569 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17755 on 2025-07-24 04:15:00 (SL: 1.17805, TP: 1.17655)
2025-09-16 14:33:48,576 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -5.60, New Balance: 9893.50
2025-09-16 14:33:48,577 - trading_bot - INFO - SIMULATED TRADE OPENED - BUY at 1.17791 on 2025-07-24 06:00:00 (SL: 1.17741, TP: 1.17891)
2025-09-16 14:33:48,585 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: -7.00, New Balance: 9886.50
2025-09-16 14:33:48,590 - trading_bot - INFO - SIMULATED TRADE OPENED - SELL at 1.17677 on 2025-07-24 09:00:00 (SL: 1.17727, TP: 1.17577)
2025-09-16 14:33:48,594 - trading_bot - INFO - SIMULATED TRADE CLOSED - Profit: 8.00, New Balance: 9894.50
